Tool,Phase,Case,Run,Scenario,Artifact,Iteration,Metric,Value
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,32,1,Time,3178919342
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,256,1,Time,14771454066
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,256,1,Time,445058160
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,256,1,Time,14951112795
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Time,19567389166
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,2,1,Time,624659481
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Time,509666216
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,256,1,Time,17869632066
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,256,1,Time,8131481261
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,32,1,Time,1954071614
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Time,406936698
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,256,1,Time,18600542886
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Time,3030865322
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,1,1,Time,178099763
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,1,1,Time,21418468
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,8,1,Time,1207731220
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,8,1,Time,463166173
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,8,1,Time,624113845
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,8,1,Time,589094917
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,16,1,Time,581231357
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,16,1,Time,9092780
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,2,Batch,16,1,Time,1044837369
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,16,1,Time,52715810
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,32,1,Time,1960392318
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Time,117838144
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,3,Batch,256,1,Time,20226260681
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,256,1,Time,23221437743
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,3,Batch,4,1,Time,302187433
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,4,1,Time,6840890
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,3,Batch,256,1,Time,16296611621
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,256,1,Time,104269607
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,128,1,Time,8705903654
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,128,1,Time,9108690733
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,128,1,Time,8244497701
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,128,1,Time,761493536
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,1,Batch,256,1,Time,15241153376
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,256,1,Time,814466891
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,8,1,Time,420140988
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Time,151456919
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,2,1,Time,123528458
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,2,1,Time,14820286
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,2,1,Time,146901725
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,2,1,Time,242548680
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,4,1,Time,262415881
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,4,1,Time,116752361639
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,64,1,Time,3731840448
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,64,1,Time,6107255247
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,64,1,Time,6994376961
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,64,1,Time,597557592
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,1,1,Time,481613051
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,1,1,Time,228207825
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,64,1,Time,3557888100
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,64,1,Time,5504431578
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,2,1,Time,192747052
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,2,1,Time,16353841
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,8,1,Time,338092795
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,8,1,Time,18581019
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,3,Batch,64,1,Time,3424018088
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,64,1,Time,30669149
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,256,1,Time,14024459231
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,256,1,Time,21047161636
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,16,1,Time,853718530
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,16,1,Time,41362339
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,64,1,Time,4631811023
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Time,1072108343
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,2,1,Time,526864812
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,2,1,Time,338674465
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,4,1,Time,131948806
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,4,1,Time,10565498
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,4,1,Matches,0
EMF-IncQuery_(Incremental),Read,RouteSensor,4,Batch,1,1,Time,106349010
EMF-IncQuery_(Incremental),Check,RouteSensor,4,Batch,1,1,Time,5527
EMF-IncQuery_(Incremental),Check,RouteSensor,4,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,1,1,Time,561506141
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,1,1,Time,4916804927
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,2,1,Time,111508893
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,2,1,Time,14074923699
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,256,1,Time,17432986209
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,256,1,Time,20434761074
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,4,1,Time,474405123
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,4,1,Time,27165385
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,256,1,Time,21606283312
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,256,1,Time,1645967129
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,3,Batch,32,1,Time,2541131346
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,32,1,Time,650165541
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,256,1,Time,16597796323
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,256,1,Time,25913489527
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,32,1,Time,1808134934
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,32,1,Time,78806338
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,4,Batch,2,1,Time,145000662
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,2,1,Time,22267957
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,1,Batch,32,1,Time,3156784860
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Time,369557597
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,4,1,Time,259712169
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,4,1,Time,99746835228
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,128,1,Time,11572912563
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,128,1,Time,1242025778
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,4,1,Time,686847626
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Time,300936057
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,2,1,Time,359787901
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,2,1,Time,26225208
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,32,1,Time,2126004982
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,32,1,Time,68968154
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,8,1,Time,295202867
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,8,1,Time,119634153
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,32,1,Time,1621821581
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,32,1,Time,2700616732
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,4,1,Time,427752021
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,4,1,Time,55254915
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,4,1,Matches,0
EMF-IncQuery_(Incremental),Read,RouteSensor,1,Batch,1,1,Time,712041043
EMF-IncQuery_(Incremental),Check,RouteSensor,1,Batch,1,1,Time,19490
EMF-IncQuery_(Incremental),Check,RouteSensor,1,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,256,1,Time,18621809848
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,256,1,Time,1087855152
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,64,1,Time,3252396708
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Time,53458205
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,1,1,Time,143724937
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,1,1,Time,152871070
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,1,1,Matches,0
EMF-IncQuery_(Incremental),Read,SwitchSet,2,Batch,1,1,Time,186951346
EMF-IncQuery_(Incremental),Check,SwitchSet,2,Batch,1,1,Time,5477
EMF-IncQuery_(Incremental),Check,SwitchSet,2,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,64,1,Time,6246894538
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,64,1,Time,6591695297
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,4,Batch,64,1,Time,3119034721
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,64,1,Time,133860526
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,1,1,Time,115559960
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,1,1,Time,18039124
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,4,Batch,128,1,Time,6748364854
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,128,1,Time,367930187
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,64,1,Time,3661321884
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,64,1,Time,996239211
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,32,1,Time,1920870748
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Time,3067184541
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,32,1,Time,1688623523
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,32,1,Time,459634489
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,4,1,Time,1183105114
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,4,1,Time,790885985
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,256,1,Time,23127856045
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Time,22535942301
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,2,1,Time,617077591
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Time,17775786511
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,128,1,Time,6946783946
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,128,1,Time,10807773545
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,8,1,Time,333721514
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,8,1,Time,21651936
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,64,1,Time,3953576615
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,64,1,Time,1520251552
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,64,1,Time,3313636923
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,64,1,Time,152149471
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,128,1,Time,6715528766
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,128,1,Time,66346902
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,8,1,Time,426459029
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Time,24578715
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,8,1,Time,1221927731
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,8,1,Time,479775424
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,4,Batch,16,1,Time,876763805
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,16,1,Time,1204415869
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,4,Batch,256,1,Time,17115588424
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Time,1014521037
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,2,Batch,64,1,Time,4012341420
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Time,38867998
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,8,1,Time,596197888
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,8,1,Time,41828093
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,16,1,Time,860725665
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,16,1,Time,48617904
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,256,1,Time,16714038726
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,256,1,Time,837093833
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,256,1,Time,19593560677
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,256,1,Time,754515884
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,256,1,Time,20891443879
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,256,1,Time,4036119339
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,4,1,Time,309162372
Jena_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,4,1,Time,53967121
Jena_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,4,1,Time,850023726
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,4,1,Time,386081941
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,4,1,Matches,0
EMF-IncQuery_(Incremental),Read,ConnectedSegments,5,Batch,1,1,Time,144252575
EMF-IncQuery_(Incremental),Check,ConnectedSegments,5,Batch,1,1,Time,8445
EMF-IncQuery_(Incremental),Check,ConnectedSegments,5,Batch,1,1,Matches,0
EMF-IncQuery_(Incremental),Read,SwitchSet,3,Batch,1,1,Time,130352100
EMF-IncQuery_(Incremental),Check,SwitchSet,3,Batch,1,1,Time,6219
EMF-IncQuery_(Incremental),Check,SwitchSet,3,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,4,Batch,4,1,Time,248794509
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,4,1,Time,14343035
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,1,1,Time,164209674
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,1,1,Time,18552612
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,32,1,Time,3716504438
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,32,1,Time,3793115752
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,4,1,Time,288286919
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,4,1,Time,15752707
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,8,1,Time,893276486
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,8,1,Time,160038417
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,16,1,Time,1055799221
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,16,1,Time,1357812598
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,128,1,Time,10066572804
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,128,1,Time,203651084
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,256,1,Time,14408315428
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,256,1,Time,107084854
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,256,1,Matches,0
EMF-IncQuery_(Incremental),Read,SemaphoreNeighbor,3,Batch,1,1,Time,126347085
EMF-IncQuery_(Incremental),Check,SemaphoreNeighbor,3,Batch,1,1,Time,249206
EMF-IncQuery_(Incremental),Check,SemaphoreNeighbor,3,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,128,1,Time,7223729067
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,128,1,Time,215364974
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,1,Batch,1,1,Time,611572217
Jena_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Time,422793015
Jena_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,4,1,Time,320405903
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Time,271674171
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,8,1,Time,1573778973
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,8,1,Time,405104896457
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,256,1,Time,19776950109
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,256,1,Time,19550774101
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,4,1,Time,268940751
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,4,1,Time,13273625
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,256,1,Time,18172091703
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,256,1,Time,757089565
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,8,1,Time,538420735
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,8,1,Time,7023499
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,1,Batch,2,1,Time,631992171
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Time,387695179
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,8,1,Time,2534230546
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,8,1,Time,369432280
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,128,1,Time,7157979734
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,128,1,Time,2559419339
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,16,1,Time,877518141
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,16,1,Time,81970532
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,16,1,Matches,0
EMF-IncQuery_(Incremental),Read,SemaphoreNeighbor,4,Batch,1,1,Time,118381180
EMF-IncQuery_(Incremental),Check,SemaphoreNeighbor,4,Batch,1,1,Time,6529
EMF-IncQuery_(Incremental),Check,SemaphoreNeighbor,4,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,32,1,Time,1857891416
